IP,Identity,User,Timestamp,Request,Status,Size,Referer,User-Agent
5.211.192.11,-,-,24/Jan/2019:18:14:27 +0330,GET /image/173/productTypeType HTTP/1.1,200,10976,https://www.zanbil.ir/m/browse/analog-watch/%D8%B3%D8%A7%D8%B9%D8%AA-%D9%85%DA%86%DB%8C-%D8%B9%D9%82%D8%B1%D8%A8%D9%87-%D8%A7%DB%8C,"Mozilla/5.0 (Linux; Android 9; ONEPLUS A5010) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36"
5.52.206.13,-,-,22/Jan/2019:23:13:55 +0330,GET /static/images/guarantees/support.png HTTP/1.1,200,6454,https://www.zanbil.ir/m/filter/p29%2Ct120?name=%D9%87%D9%85%D8%B2%D9%86&productType=mixer,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/65.0.225212226 Mobile/15E148 Safari/605.1"
37.202.230.203,-,-,23/Jan/2019:09:51:48 +0330,GET /product/33598/64267/ HTTP/1.1,302,0,https://emalls.ir/%D8%AE%D8%B1%DB%8C%D8%AF_%D9%81%D8%B1%D9%88%D8%B4%DA%AF%D8%A7%D9%87-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA%DB%8C-%D8%B2%D9%86%D8%A8%DB%8C%D9%84~eitemid~1728829~exid~14392366,"Mozilla/5.0 (Linux; Android 8.0.0; SM-A520F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.91 Mobile Safari/537.36"
89.144.190.26,-,-,25/Jan/2019:20:15:03 +0330,GET /image/32/brand HTTP/1.1,200,2161,https://www.zanbil.ir/browse/home-appliances/%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C,Mozilla/5.0 (Windows NT 6.1; rv:64.0) Gecko/20100101 Firefox/64.0
37.98.115.133,-,-,25/Jan/2019:07:33:43 +0330,GET /image/543/brand HTTP/1.1,200,2783,https://www.zanbil.ir/filter/b36,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
95.216.233.182,-,-,22/Jan/2019:07:30:23 +0330,GET /static/images/arrow-left.png HTTP/1.1,200,474,https://znbl.ir/static/bundle-bundle_site_head.css,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
5.216.100.249,-,-,22/Jan/2019:11:36:09 +0330,GET /image/1215/mainSlideMobile HTTP/1.1,200,69159,https://www.zanbil.ir/m/search/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%85%D8%A7%D8%B1%DA%A9-%D8%A7%D9%84-%D8%AC%DB%8C-%D8%B3%D8%A7%DB%8C-%D8%A8%D8%A7%DB%8C-%D8%B3%D8%A7%DB%8C%D8%AF,"Mozilla/5.0 (Linux; Android 7.0; LG-M250 Build/NRD90U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36"
84.241.19.251,-,-,26/Jan/2019:18:50:05 +0330,GET /image/2752/productModel/150x150 HTTP/1.1,200,3436,https://www.zanbil.ir/browse/kitchen-sink/%D8%B3%DB%8C%D9%86%DA%A9-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
5.216.209.168,-,-,23/Jan/2019:21:04:59 +0330,GET /amp-helper-frame.html?appId=a624a1c1-0c93-466a-a546-e146710f97e6&parentOrigin=https://www-zanbil-ir.cdn.ampproject.org HTTP/1.1,200,133,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/product/27315/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%DB%8C%D8%B3%D8%AA%D8%A7%D8%AF%D9%87-%D8%A7%D9%84-%D8%AC%DB%8C-%D9%85%D8%AF%D9%84-LG-Front-Control-Dishwasher-DC75?amp_js_v=0.1&usqp=mq331AQECAEoAQ%3D%3D,"Mozilla/5.0 (Linux; Android 7.0; SM-A520F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36"
5.202.33.68,-,-,22/Jan/2019:10:35:32 +0330,GET /static/images/amp/telegram.png HTTP/1.1,200,4859,https://www.zanbil.ir/,Mozilla/5.0 (Windows NT 6.1; rv:64.0) Gecko/20100101 Firefox/64.0
5.219.65.1,-,-,22/Jan/2019:16:16:57 +0330,GET /image/978/mainSlideMobile HTTP/1.1,200,66099,https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1,"Mozilla/5.0 (Linux; Android 7.0; TRT-L21A Build/HUAWEITRT-L21A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Mobile Safari/537.36"
37.254.25.73,-,-,26/Jan/2019:20:10:40 +0330,GET /image/31614?name=230.jpg&wh=200x200 HTTP/1.1,200,2915,https://torob.com/p/2be377ab-ebff-40a3-ba4a-b5de1b84518e/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%B3%D8%A7%DB%8C%D8%AF-%D8%A8%D8%A7%DB%8C-%D8%B3%D8%A7%DB%8C%D8%AF-%D8%A7%D9%84-%D8%AC%DB%8C/,"Mozilla/5.0 (Linux; Android 7.0; SM-A510F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36"
91.251.50.63,-,-,25/Jan/2019:11:23:04 +0330,GET /image/62754/productModel/200x200 HTTP/1.1,200,2370,https://www.zanbil.ir/m/filter/p41%2C6418%7C12000?o=6418&page=1,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"
5.112.19.180,-,-,25/Jan/2019:03:33:19 +0330,GET /image/57555/productModel/200x200 HTTP/1.1,200,6316,https://www.zanbil.ir/m/filter/b1%2Cp6,"Mozilla/5.0 (Linux; Android 7.0; TRT-L21A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36"
66.249.66.91,-,-,23/Jan/2019:19:08:37 +0330,GET /filter/b481%2Cb43%2Cb874%2Cb32%2Cb67%2Cb36%2Cb226%2Cb41%2Cb136%2Cb570%2Cb180%2Cb615%2Cb168%2Cb648%2Cb103%2Cb148%2Cb80%2Cb724%2Cb613%2Cb5%2Cb135%2Cb183%2Cb497%2Cb194%2Cb1%2Cb861%2Cb854%2Cb198%2Cb647%2Cb88%2Cb3%2Cb202%2Cb20%2Cb542%2Cb723%2Cb482%2Cb212%2Cb441%2Cb35%2Cb546%2Cb221%2Cb614%2Cb548%2Cb95%2Cb231%2Cb261%2Cb619%2Cb485?page=192 HTTP/1.1,200,39726,-,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
37.156.241.149,-,-,26/Jan/2019:11:33:56 +0330,GET /static/images/jcountdown/jcountdown_metal_black.png HTTP/1.1,200,17355,https://znbl.ir/static/bundle-bundle_site_head.css,Mozilla/5.0 (Windows NT 6.1; rv:64.0) Gecko/20100101 Firefox/64.0
5.218.87.81,-,-,22/Jan/2019:11:28:32 +0330,GET /image/61821/productModel/200x200 HTTP/1.1,200,9601,"https://www.zanbil.ir/m/filter/b2,p65","Mozilla/5.0 (Linux; Android 7.1.1; SAMSUNG SM-J510F Build/NMF26X) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36"
151.243.239.203,-,-,24/Jan/2019:22:26:57 +0330,GET /image/5390/productModel/100x100 HTTP/1.1,200,2374,https://www.zanbil.ir/browse/digital-supplies/%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AF%DB%8C%D8%AC%DB%8C%D8%AA%D8%A7%D9%84,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
81.90.144.56,-,-,23/Jan/2019:16:44:32 +0330,GET /image/2/brand HTTP/1.1,200,4842,https://www.zanbil.ir/browse/vacuum-cleaner/%D8%AC%D8%A7%D8%B1%D9%88%D8%A8%D8%B1%D9%82%DB%8C,Mozilla/5.0 (Windows NT 5.1; rv:40.0) Gecko/20100101 Firefox/40.0
5.115.241.3,-,-,26/Jan/2019:05:10:07 +0330,GET /static/bundle-bundle_site_defer.min.js HTTP/1.1,200,185207,"https://www.zanbil.ir/filter/b1,p62",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
37.98.30.132,-,-,25/Jan/2019:18:49:28 +0330,GET /image/63386/productModel/100x100 HTTP/1.1,200,0,https://www.zanbil.ir/product/33601/64269/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86-%D8%A7%D9%84-%D8%A7%DB%8C-%D8%AF%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-55N6950,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
5.234.164.71,-,-,23/Jan/2019:23:03:48 +0330,GET /plugins/ckeditor-3.6.2.2/js/ckeditor/ckeditor.js HTTP/1.1,302,0,https://www.zanbil.ir/product/28970/58069/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D9%85%D8%A8%D9%84%D9%87-%D9%BE%DB%8C%D9%84%D9%88%D8%AA-%D9%85%D8%AF%D9%84-KL5,Mozilla/5.0 (Windows NT 6.3; rv:64.0) Gecko/20100101 Firefox/64.0
113.203.119.43,-,-,24/Jan/2019:00:47:37 +0330,GET /m/product/33626/64995 HTTP/1.1,200,21761,https://emalls.ir/%D8%AE%D8%B1%DB%8C%D8%AF~eitemid~1738424~exid~16109842~s~app,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1"
207.46.13.60,-,-,24/Jan/2019:18:08:52 +0330,"GET /filter/b1,b122,b41,b58,p51 HTTP/1.1",200,35650,-,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
85.185.95.212,-,-,23/Jan/2019:10:27:43 +0330,GET /image/11893/productType/240x180 HTTP/1.1,200,11916,https://www.zanbil.ir/?utm_source=2&utm_medium=26&utm_campaign=Z&utm_term=205,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
192.15.107.139,-,-,26/Jan/2019:20:01:30 +0330,GET /static/images/guarantees/warranty.png HTTP/1.1,200,5807,https://www.zanbil.ir/m/filter/b213%2Cp6,Mozilla/5.0 (Android 7.0; Mobile; rv:65.0) Gecko/65.0 Firefox/65.0
